1.2100000000	63651.0583113350
1.2193950000	62514.8496571655
1.2287900000	61407.0713635870
1.2381850000	60326.8605463067
1.2475800000	59273.3965119827
1.2569750000	58245.8979227818
1.2663700000	57243.6174272585
1.2757650000	56265.8461298998
1.2851600000	55311.8892342893
1.2945550000	54381.1469023159
1.3039500000	53472.9613607649
1.3133450000	52586.6762666593
1.3227400000	51721.7627044153
1.3321350000	50877.6783873473
1.3415300000	50053.9106425720
1.3509250000	49249.8611422797
1.3603200000	48465.0939003200
1.3697150000	47699.1246146075
1.3791100000	46951.4938832464
1.3885050000	46221.7556561564
1.3979000000	45509.4811237633
1.4072950000	44814.2417907272
1.4166900000	44135.6505208685
1.4260850000	43473.3153687602
1.4354800000	42826.8517180751
1.4448750000	42195.8917581029
1.4542700000	41580.0827957315
1.4636650000	40979.0810829260
1.4730600000	40392.5399165582
1.4824550000	39820.1379014965
1.4918500000	39261.5644571276
1.5012450000	38716.4862019030
1.5106400000	38184.6128875623
1.5200350000	37665.6585114898
1.5294300000	37159.3328800310
1.5388250000	36665.3578982495
1.5482200000	36183.4607618479
1.5576150000	35713.3849504366
1.5670100000	35254.8653864260
1.5764050000	34807.6419007514
1.5858000000	34371.4723478824
1.5951950000	33946.1200962912
1.6045900000	33531.3428324677
1.6139850000	33126.9155553188
1.6233800000	32732.6204846698
1.6327750000	32348.2281741693
1.6421700000	31973.5300892669
1.6515650000	31608.3324900970
1.6609600000	31252.4125242173
1.6703550000	30905.5367343937
1.6797500000	30567.5368972888
1.6891450000	30238.2178590672
1.6985400000	29917.3899349734
1.7079350000	29604.8670559302
1.7173300000	29300.4666979961
1.7267250000	29004.0096507913
1.7361200000	28715.3204029907
1.7455150000	28434.2255692660
1.7549100000	28160.5616825405
1.7643050000	27894.1577970348
1.7737000000	27634.8455202377
1.7830950000	27382.4706999851
1.7924900000	27136.8747390693
1.8018850000	26897.9030212867
1.8112800000	26665.4041187065
1.8206750000	26439.2279502013
1.8300700000	26219.2281303340
1.8394650000	26005.2601059037
1.8488600000	25797.1818158730
1.8582550000	25594.8541131258
1.8676500000	25398.1402027793
1.8770450000	25206.9045935722
1.8864400000	25021.0148895390
1.8958350000	24840.3412478339
1.9052300000	24664.7552565664
1.9146250000	24494.1306854291
1.9240200000	24328.3438412043
1.9334150000	24167.2742247466
1.9428100000	24010.7989281869
1.9522050000	23858.8094004104
1.9616000000	23711.1967526076
1.9709950000	23567.8133467625
1.9803900000	23428.5703851510
1.9897850000	23293.3557601307
1.9991800000	23162.0627006293
2.0085750000	23034.5854597225
2.0179700000	22910.8200945634
2.0273650000	22790.6650222422
2.0367600000	22674.0203248820
2.0461550000	22560.7883598984
2.0555500000	22450.8728953815
2.0649450000	22344.1794949319
2.0743400000	22240.6162253583
2.0837350000	22140.0928231413
2.0931300000	22042.5205574967
2.1025250000	21947.8127639200
2.1119200000	21855.8848126847
2.1213150000	21766.6539428433
2.1307100000	21680.0387396189
2.1401050000	21595.9601570470
2.1495000000	21514.3411673943
2.1588950000	21435.1057371150
2.1682900000	21358.1806040479
2.1776850000	21283.4925961020
2.1870800000	21210.9731664833
2.1964750000	21140.5541114609
2.2058700000	21072.1681695957
2.2152650000	21005.7508523978
2.2246600000	20941.2389427622
2.2340550000	20878.5712668742
2.2434500000	20817.6886881450
2.2528450000	20758.5333400683
2.2622400000	20701.0488385746
2.2716350000	20645.1808532080
2.2810300000	20590.8777411654
2.2904250000	20538.0858039000
2.2998200000	20486.7566469787
2.3092150000	20436.8422442329
2.3186100000	20388.2959868489
2.3280050000	20341.0726972976
2.3374000000	20295.1287357131
2.3467950000	20250.4236810452
2.3561900000	20206.9142512803
2.3655850000	20164.5611847879
2.3749800000	20123.3275311510
2.3843750000	20083.1761358741
2.3937700000	20044.0716746157
2.4031650000	20005.9799097917
2.4125600000	19968.8680282076
2.4219550000	19932.7035337955
2.4313500000	19897.4572547184
2.4407450000	19863.0963121744
2.4501400000	19829.5768344062
2.4595350000	19796.9077887058
2.4689300000	19765.0452727755
2.4783250000	19733.9615366488
2.4877200000	19703.6335394467
2.4971150000	19674.0308123514
2.5065100000	19645.1393724588
2.5159050000	19616.9380144769
2.5253000000	19589.4024872056
2.5346950000	19562.5123998258
2.5440900000	19536.2478623660
2.5534850000	19510.5926869994
2.5628800000	19485.5278708871
2.5722750000	19461.0334649383
2.5816700000	19437.0966666340
2.5910650000	19413.7012039869
2.6004600000	19390.8321181543
2.6098550000	19368.4746338982
2.6192500000	19346.6135045593
2.6286450000	19325.2361398705
2.6380400000	19304.3335794966
2.6474350000	19283.8886353349
2.6568300000	19263.8936117752
2.6662250000	19244.3363356212
2.6756200000	19225.2068841247
2.6850150000	19206.4950458829
2.6944100000	19188.1905725931
2.7038050000	19170.2863756510
2.7132000000	19152.7741181334
2.7225950000	19135.6448123633
2.7319900000	19118.8923232580
2.7413850000	19102.5085408351
2.7507800000	19086.4806855831
2.7601750000	19070.8175338273
2.7695700000	19055.5022541944
2.7789650000	19040.5290063880
2.7883600000	19025.8940976355
2.7977550000	19011.5951509349
2.8071500000	18997.6252557989
2.8165450000	18983.9793278010
2.8259400000	18970.6543729936
2.8353350000	18957.6462966941
2.8447300000	18944.9494978675
2.8541250000	18932.5613709345
2.8635200000	18920.4788234346
2.8729150000	18908.6961173503
2.8823100000	18897.2096764691
2.8917050000	18886.0172914862
2.9011000000	18875.1172265633
2.9104950000	18864.5016747618
2.9198900000	18854.1702813583
2.9292850000	18844.1186742288
2.9386800000	18834.3412288426
2.9480750000	18824.8378402834
