X 0 0 	0.000000000	0.000e+00	458
X 0 1 	6.786760324	7.071e-02	28
X 0 2 	20.254951083	7.071e-02	28
X 0 3 	40.523001849	1.000e-01	25
X 0 4 	67.421708586	1.000e-01	26
X 0 5 	101.063388322	1.000e-01	26
X 0 6 	141.409374440	1.000e-01	27
X 0 7 	188.435019961	1.000e-01	25
X 0 8 	242.167534174	1.000e-01	25
X 0 9 	302.255162295	1.000e-01	24
X 0 10 	369.253921516	1.000e-01	24
X 0 11 	442.449499106	1.005e-01	22
X 0 12 	522.411537666	1.006e+00	22
X 0 13 	608.608380115	1.015e-01	20
X 0 14 	701.265135898	3.000e+00	18
X 0 15 	800.470345977	3.000e+00	18
X 0 16 	905.661122479	3.000e+00	19
X 1 0 	955.875730448	7.071e-02	5
X 1 1 	962.482324606	7.071e-02	6
X 1 2 	975.572470438	7.071e-02	10
X 1 3 	995.270111320	1.000e-01	14
X 0 17 	1017.275437694	3.000e+00	18
X 1 4 	1021.573005437	1.000e-01	20
X 1 5 	1054.379328337	1.000e-01	24
X 1 6 	1093.636335846	1.000e-01	25
X 0 18 	1134.718666009	3.000e+00	18
X 1 7 	1139.503837026	1.000e-01	25
X 1 8 	1191.798952478	1.000e-01	24
X 1 9 	1250.723291908	1.000e-01	23
X 0 19 	1258.440507321	3.000e+00	17
X 1 10 	1315.700510725	1.000e-01	23
X 1 11 	1387.386648423	1.005e-01	22
X 0 20 	1388.411028918	3.000e+00	16
X 1 12 	1465.063428613	1.010e-01	20
X 0 21 	1524.012407494	3.000e+00	15
X 1 13 	1549.293596679	1.006e+00	20
X 1 14 	1639.545311698	1.020e-01	20
X 0 22 	1666.580531973	3.000e+00	15
X 1 15 	1736.035133191	3.000e+00	21
X 0 23 	1813.089819304	3.000e+00	14
X 1 16 	1838.855372694	3.000e+00	19
X 2 0 	1881.933800000	1.000e-01	1
X 2 1 	1888.341435689	1.000e-01	4
X 2 2 	1901.166801332	1.000e-01	2
X 2 3 	1920.374843639	1.000e-01	3
X 2 4 	1945.975959294	1.000e-01	5
X 1 17 	1947.433118991	3.000e+00	19
X 0 24 	1967.095911260	3.000e+00	13
X 2 5 	1977.982972819	1.000e-01	6
X 2 6 	2016.319797830	1.000e-01	8
X 2 7 	2060.939139545	1.000e-01	10
X 1 18 	2062.213444578	3.000e+00	17
X 2 8 	2111.930645129	1.000e-01	11
X 0 25 	2125.793938508	3.000e+00	13
X 2 9 	2169.137137673	1.000e-01	12
X 1 19 	2182.593670302	3.000e+00	19
X 2 10 	2232.806446033	1.000e-01	12
X 0 26 	2290.638594300	3.000e+00	12
X 2 11 	2302.328523771	1.005e-01	10
X 1 20 	2309.203304822	3.000e+00	18
X 2 12 	2378.351639039	1.010e-01	10
X 1 21 	2441.469206436	3.000e+00	14
X 2 13 	2460.157401018	1.015e-01	10
X 0 27 	2460.488703881	3.000e+00	11
X 2 14 	2548.305625243	1.006e+00	10
X 1 22 	2579.636606283	3.000e+00	14
X 0 28 	2635.580356580	3.000e+00	6
X 2 15 	2642.259260342	1.025e-01	10
X 1 23 	2723.815903686	3.000e+00	11
X 2 16 	2742.233122565	3.000e+00	10
X 3 0 	2778.199000000	3.000e+00	1
X 3 1 	2784.447000000	3.000e+00	1
X 3 2 	2796.143436768	3.000e+00	3
X 3 3 	2813.827896138	3.000e+00	2
X 0 29 	2816.974000000	3.000e+00	1
X 3 4 	2838.869068754	3.000e+00	3
X 2 17 	2848.320645205	3.000e+00	9
X 3 5 	2872.084114817	3.000e+00	3
X 1 24 	2872.741635031	3.000e+00	11
X 3 6 	2909.459822627	3.000e+00	5
X 3 7 	2952.693755559	3.000e+00	7
X 2 18 	2959.934121457	3.000e+00	10
X 0 30 	3002.925000000	3.000e+00	1
X 3 8 	3003.491413887	3.000e+00	7
X 1 25 	3027.866663792	3.000e+00	9
X 3 9 	3059.329583292	3.000e+00	7
X 2 19 	3077.051077666	3.000e+00	9
X 3 10 	3120.517262987	3.000e+00	5
X 1 26 	3187.633921099	3.000e+00	7
X 3 11 	3188.858747026	3.000e+00	6
X 0 31 	3194.004000000	3.000e+00	1
X 2 20 	3200.491646542	3.000e+00	8
X 3 12 	3262.062870736	3.000e+00	6
X 2 21 	3329.457299213	3.000e+00	8
X 3 13 	3342.174236119	3.000e+00	7
X 1 27 	3353.881459192	3.000e+00	7
X 0 32 	3390.117000000	3.000e+00	1
X 3 14 	3427.529935195	3.000e+00	7
X 2 22 	3464.225941104	3.000e+00	6
X 3 15 	3518.874650035	3.000e+00	7
X 1 28 	3524.299972153	3.000e+00	7
X 2 23 	3603.893598860	3.000e+00	7
X 3 16 	3615.984352597	3.000e+00	7
X 4 0 	3647.077100000	1.000e-01	1
X 4 1 	3653.161133916	1.000e-01	3
X 4 2 	3665.330272769	1.000e-01	4
X 4 3 	3683.571346776	1.000e-01	4
X 1 29 	3700.282625368	3.000e+00	5
X 4 4 	3707.875043849	1.000e-01	6
X 3 17 	3720.292516941	3.000e+00	7
X 4 5 	3738.228449219	1.000e-01	6
X 2 24 	3748.656675512	3.000e+00	6
X 4 6 	3774.611067684	1.000e-01	7
X 4 7 	3816.997050496	1.000e-01	8
X 3 18 	3828.144073495	3.000e+00	8
X 4 8 	3865.361349196	1.000e-01	8
